"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"4166","Normal/Others","WS/MP334/2024-2025/143401-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","Installation of solar street light in sarhachiya panchayat: 1)Near durga mandir 3 no. tenughat 2)Near radha krishna mandir 3)Near bajrang bali mandir 2 no. tenughat 2)","25-Sep-2024","66000","04-Oct-2024"
"4167","Normal/Others","WS/MP334/2024-2025/143402-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","Installation of solar street light in jhirke panchayat: 1)Near baba saheb ambedkar statue 2)Near durga mandir yadav tola 3)Near harijan tola mandir","25-Sep-2024","66000","04-Oct-2024"
"4168","Normal/Others","WS/MP18183/2024-2025/143403-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of new PDS building in Keezkurichi Panchayat Mandalkottai,madukkur village","25-Sep-2024","1319168","22-Feb-2025"
"4169","Normal/Others","WS/MP334/2024-2025/143404-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","Installation of solar street light in bandh panchayat: 1)Near kali mandir kamar tola 2)Near hari bol mandir mahlibandh 3)Near giri tola 4)Near bandh colony bajrang bali mandir","25-Sep-2024","88000","04-Oct-2024"
"4170","Normal/Others","WS/MP334/2024-2025/143406-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","Installation of solar street light in kathara panchayat: 1)Near durga mandir 2)Near shiv mandir on the way to mahlibandh 3)Near jhopad patti chowk 4)Near kathara basti mandir","25-Sep-2024","88000","04-Oct-2024"
"4171","Normal/Others","WS/MP334/2024-2025/143407-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light in madhukarpur panchayat: 1)Near gautam turi house 2)Near dilip turi house","25-Sep-2024","44000","04-Oct-2024"
"4172","Normal/Others","WS/MP18272/2024-2025/143420-Construction of boundary walls of existing public and community buildings","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","KALIPADA SAREN","JHARGRAM(ST)","Construction of Boundary wall of Bandwan Mahavidyalaya at Chilla under Bandwan Block.","25-Sep-2024","2988593","21-Feb-2025"
"4173","Normal/Others","WS/MP18272/2025-2026/143426-Construction of boundary walls of existing public and community buildings","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","KALIPADA SAREN","JHARGRAM(ST)","Construction of boundary wall of Murar Ashutosh High School (H.S.)","25-Sep-2024","2942147","21-May-2025"
"4174","Normal/Others","WS/MP18031/2025-2026/143456-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4175","Normal/Others","WS/MP18031/2025-2026/143457-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4176","Normal/Others","WS/MP18031/2025-2026/143458-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4177","Normal/Others","WS/MP18031/2025-2026/143459-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4178","Normal/Others","WS/MP18031/2025-2026/143460-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4179","Normal/Others","WS/MP18031/2025-2026/143461-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4180","Normal/Others","WS/MP18031/2025-2026/143462-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4181","Normal/Others","WS/MP18031/2025-2026/143463-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4182","Normal/Others","WS/MP18031/2025-2026/143464-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library five lacs each school library","25-Sep-2024","498748","04-Apr-2025"
"4183","Normal/Others","WS/MP18031/2025-2026/143476-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of rupees five lacs each school","25-Sep-2024","498748","04-Apr-2025"
"4184","Normal/Others","WS/MP18041/2024-2025/143477-Street lights","Bihar","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","16 miter unchai wale L.E.D. (150*8) high mask light dibra bajar me aek adad adhisthapit karne ki anusansha ki jati hai","25-Sep-2024","850000","18-Jan-2025"
"4185","Normal/Others","WS/MP18041/2025-2026/143478-Street lights","Bihar","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","16 miter unchai wale L.E.D. (150*8) high mask light badarpur masjid ke nikat aek adad adhisthapit karne ki anusansha ki jati hai","25-Sep-2024","850000","26-Apr-2025"
"4186","Normal/Others","WS/MP18041/2025-2026/143479-Street lights","Bihar","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","16 miter unchai wale L.E.D. (150*8) high mask light mehta chauk nahar ke pas aek adad adhisthapit karne ki anusansha ki jati hai","25-Sep-2024","850000","26-Apr-2025"
"4187","Normal/Others","WS/MP18311/2024-2025/143480-Development of playfields and sports grounds","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","Development of playfields and sports grounds at ward number 10 sri chamkaur sahib","25-Sep-2024","1000000","21-Nov-2024"
"4188","Normal/Others","WS/MP18031/2025-2026/143481-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4189","Normal/Others","WS/MP18031/2025-2026/143482-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4190","Normal/Others","WS/MP18031/2025-2026/143483-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4191","Normal/Others","WS/MP18031/2025-2026/143484-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4192","Normal/Others","WS/MP18031/2025-2026/143485-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4193","Normal/Others","WS/MP18031/2025-2026/143486-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","498748","04-Apr-2025"
"4194","Normal/Others","WS/MP863/2024-2025/143487-Purchase of IT systems, including hardware and software for educational purposes","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","P C Mohan","BANGALORE CENTRAL","Installation of 15 Nos. Dell Optiplex 7400 A10 12th Gen Core i7-12700T/16GB/512GB SSD + 1TB/WIN 10 Pro/FHD 24''/3 years on-site warranty, 02 Nos. Dell Optiplex 3280 A10 10th Gen Intel Core i5-10500T/8GB/1TB/22'' FHD/WIN 10 Pro/3 years on-site warranty, 03 Nos. Dell Optiplex 5400 A10 12th Gen Intel Core i5-12500T/8GB/256GB SSD + 1TB/WIN 11 Pro/24''/3 years on-site warranty, 02 Nos. Canon Jumbo Xerox Machines, and 02 Nos. Canon Laser Jet Printers 2900B","25-Sep-2024","4739506","20-Nov-2024"
"4195","Normal/Others","WS/MP18031/2024-2025/143488-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five for lacs each school","25-Sep-2024","499385","15-Jan-2025"
"4196","Normal/Others","WS/MP18031/2024-2025/143489-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five for lacs each school","25-Sep-2024","499385","15-Jan-2025"
"4197","Normal/Others","WS/MP18031/2024-2025/143490-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five for lacs each school","25-Sep-2024","499385","15-Jan-2025"
"4198","Normal/Others","WS/MP18031/2024-2025/143491-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five for lacs each school","25-Sep-2024","499385","15-Jan-2025"
"4199","Normal/Others","WS/MP18031/2024-2025/143492-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs of each school","25-Sep-2024","499385","15-Jan-2025"
"4200","Normal/Others","WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","Compound Wall and Other Work In rural Vetrinery Dispencery at Velanchery Village","25-Sep-2024","996610","07-Oct-2024"
"4201","Normal/Others","WS/MP017/2024-2025/143500-Renovation of ponds and lakes","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work","25-Sep-2024","999654","01-Oct-2024"
"4202","Normal/Others","WS/MP18031/2024-2025/143512-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4203","Normal/Others","WS/MP18031/2024-2025/143513-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4204","Normal/Others","WS/MP18031/2024-2025/143514-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4205","Normal/Others","WS/MP18031/2024-2025/143515-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4206","Normal/Others","WS/MP18031/2024-2025/143516-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4207","Normal/Others","WS/MP18031/2024-2025/143517-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4208","Normal/Others","WS/MP18031/2024-2025/143518-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for  each and every school","25-Sep-2024","499385","15-Jan-2025"
"4209","Normal/Others","WS/MP18180/2025-2026/143525-Construction of rooms and halls in school and colleges","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","Construction of Two Addnl Classrooms for PUPS venkatesapuram in venkatesapuram pt in Thuraiyur Panchayat Union","25-Sep-2024","3460000","26-Jun-2025"
"4210","Normal/Others","WS/MP18307/2025-2026/143526-Construction of rooms and halls in school and colleges","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 5  - Reconstruction of Kindergarten at Balkawade Compound, Hanuman Tekdi Road, Kazupada, Borivali East","25-Sep-2024","4500000","25-Mar-2026"
"4211","Normal/Others","WS/MP18031/2024-2025/143527-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction five lacs for every school.","25-Sep-2024","499385","15-Jan-2025"
"4212","Normal/Others","WS/MP18031/2024-2025/143528-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction five lacs for every school.","25-Sep-2024","499385","15-Jan-2025"
"4213","Normal/Others","WS/MP18031/2024-2025/143529-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction five lacs for every school.","25-Sep-2024","499385","15-Jan-2025"
"4214","Normal/Others","WS/MP18031/2024-2025/143530-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction five lacs for every school.","25-Sep-2024","499385","15-Jan-2025"
"4215","Normal/Others","WS/MP18183/2024-2025/143544-Construction of buildings for community cultural activities","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of a new art theater in Valaphramankadu panchayat,peravaurani","25-Sep-2024","1191491","27-Feb-2025"
"4216","Normal/Others","WS/MP18353/2024-2025/143552-Construction of buildings for crèches and anganwadies","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Construction of Proposed ICDS Building at Khein ICDS, Centre code- 194 Under Akna G.P.","25-Sep-2024","762278","06-Jan-2025"
"4217","Normal/Others","WS/MP18353/2024-2025/143553-Construction of buildings for crèches and anganwadies","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Construction of Anganwadi centre (ICDS) at Beta Paschim ICDS Centre code- 206 Under Harit G.P","25-Sep-2024","1099986","05-Dec-2024"
"4218","Normal/Others","WS/MP18353/2024-2025/143554-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Construction of Additional Class room with projector set at Kaswara Yasmin Mondal Sikshaniketan(H.S) at Amnan G.P under Polba- Dadpur Development Block","25-Sep-2024","675304","06-Jan-2025"
"4219","Normal/Others","WS/MP18353/2024-2025/143555-Installing community drinking water plants","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Supply & Installation of Water ATM with RO Facility for chilled/normal drinking water at Khanyan Purbopara, Khanyan G.P under Pandua Block","25-Sep-2024","299803","08-Jan-2025"
"4220","Normal/Others","WS/MP18353/2024-2025/143556-Installing community drinking water plants","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Standard Iron Removal Plant Solar Powered Standalone Iron & Heavy Metal Advance FRP Pressure vessels & Media based (with NSF 372&61 CSIR/BARC Certi?ed) drinking water puri?cation system capacity 2000-2500 LHP at Beta More under Goswami malipara G.P","25-Sep-2024","1066049","20-Jan-2025"
"4221","Normal/Others","WS/MP18353/2024-2025/143557-Installing community drinking water plants","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Supply & Installation of Water ATM with RO Facility for chilled/normal drinking water at Horal Hattola, Horal Daspur G.P under Pandua Block","25-Sep-2024","299803","08-Jan-2025"
"4222","Normal/Others","WS/MP18353/2024-2025/143558-Installing community drinking water plants","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Supply & Installation of Water ATM with RO Facility for chilled/normal drinking water at Gojina Daspur Bazartola, Ilchoba Daspur G.P, under Pandua Block","25-Sep-2024","299803","08-Jan-2025"
"4223","Normal/Others","WS/MP18353/2024-2025/143559-Installing community drinking water plants","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Supply & Installation of Water ATM with RO Facility for chilled/normal drinking water at Government Training College , Ward no – 9 Chawbazar, Hooghly-Chinsurah, Municipality, Hooghly","25-Sep-2024","299803","08-Jan-2025"
"4224","Normal/Others","WS/MP18353/2024-2025/143560-Street lights","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Installation of 30(Thirty)  Solar Street Light form Saptagram Colony area  to Saptagram Station,","25-Sep-2024","1091796","03-Dec-2024"
"4225","Normal/Others","WS/MP18353/2024-2025/143561-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","Construction of New Class Room of Sarai G.S.F.P School (Pandua-23) of Pandua circle under Pandua Block","25-Sep-2024","1269372","26-Mar-2025"
"4226","Normal/Others","WS/MP18031/2024-2025/143563-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4227","Normal/Others","WS/MP18031/2024-2025/143564-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4228","Normal/Others","WS/MP18031/2024-2025/143565-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4229","Normal/Others","WS/MP18031/2024-2025/143566-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4230","Normal/Others","WS/MP18031/2024-2025/143571-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4231","Normal/Others","WS/MP18031/2024-2025/143572-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4232","Normal/Others","WS/MP18031/2024-2025/143573-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4233","Normal/Others","WS/MP18031/2024-2025/143574-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","purchase of books for school library. sanction of five lacs for every school","25-Sep-2024","499385","15-Jan-2025"
"4234","Normal/Others","WS/MP18307/2025-2026/143600-Tree plantation for community","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 47- Beautification works at Ganga Building Link Road Malad (West)","25-Sep-2024","1500000","25-Mar-2026"
"4235","Normal/Others","WS/MP18307/2025-2026/143601-Tree plantation for community","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 47 - Beautification of divider at Mith Chowk to Chincholi Bunder Chowk Link Road Malad West","25-Sep-2024","2000000","25-Mar-2026"
"4236","Normal/Others","WS/MP18307/2025-2026/143602-Tree plantation for community","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 47 -  Beautification work at Swatantrata Veer Savarkar Chowk Malad (West)","25-Sep-2024","2000000","25-Mar-2026"
"4237","Normal/Others","WS/MP18307/2025-2026/143603-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 2 -Construction of Drains and footpaths at Sai Kripa Chawl, Sambhaji Nagar, Dubey Chawl, Babli Pada, Tare Compound, Raja Ram Mhatre Chawl  Bharwad Chawl Dahisar","25-Sep-2024","2500000","30-Jan-2026"
"4238","Normal/Others","WS/MP18307/2025-2026/143606-Construction of public toilets and bathrooms","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 30 - Construction of Toilets at  Iraniwadi Charkop Kandivali (West)","25-Sep-2024","2000000","30-Jan-2026"
"4239","Normal/Others","WS/MP18307/2025-2026/143607-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 7 -   Construction of Sewer and CC Passage Loading at Brahmadev Tiwari Chawl, Shagun Hotel, Nawagaon, Dahisar","25-Sep-2024","2000000","25-Mar-2026"
"4240","Normal/Others","WS/MP18307/2025-2026/143608-Construction of public toilets and bathrooms","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 36- Re-construction of Toilet at near Madras Pada Kandivali (East)","25-Sep-2024","2000000","30-Jan-2026"
"4241","Normal/Others","WS/MP18307/2025-2026/143609-Construction of public toilets and bathrooms","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 45- Construction of Toilet at Om Sai Welfare (Buddhanagar) Kaccha Road, Malvani Malad (West)","25-Sep-2024","2000000","25-Mar-2026"
"4242","Normal/Others","WS/MP18307/2025-2026/143610-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 13 - Construction of Drainge  and CC Passage, Pavour block at Motiram Mishra Chawl Borivali (East)","25-Sep-2024","1500000","30-Jan-2026"
"4243","Normal/Others","WS/MP18307/2025-2026/143611-Tree plantation for community","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 21 - Beautification work at  Dahanukarwadi Junction, Charkop Kandivali (West)","25-Sep-2024","1500000","30-Jan-2026"
"4244","Normal/Others","WS/MP18307/2025-2026/143612-Tree plantation for community","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 44  - Beautification  of Square near Raheja Township Malad (East)","25-Sep-2024","1500000","25-Mar-2026"
"4245","Normal/Others","WS/MP18307/2025-2026/143613-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","Ward 10 - Construction  of drainge and CC passages, Pavour block at Nutan Nagar Dahisar (West)","25-Sep-2024","1500000","30-Jan-2026"
