"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2215","Normal/Others","WS/MP334/2024-2025/139759-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chotki sadma durga mandir koeri tola in sadmakalan","09-Sep-2024","22000","08-Oct-2024"
"2216","Normal/Others","WS/MP334/2024-2025/139760-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near sadmakhurd tenu road bajrang bali mandir in sadma kalan","09-Sep-2024","22000","08-Oct-2024"
"2217","Normal/Others","WS/MP334/2024-2025/139761-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chandrapura kauleshwar mahto house bajrangbali mandirin sadma kalan","09-Sep-2024","22000","08-Oct-2024"
"2218","Normal/Others","WS/MP334/2024-2025/139762-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chandarpura gram desi mandir in sadma kalan.","09-Sep-2024","22000","08-Oct-2024"
"2219","Normal/Others","WS/MP334/2024-2025/139763-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near budhwatand bajrangbali mandir in sadmakalan","09-Sep-2024","22000","08-Oct-2024"
"2220","Normal/Others","WS/MP334/2024-2025/139764-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near tenu chowk bajrang bali mandir in sadma kalan.","09-Sep-2024","22000","08-Oct-2024"
"2221","Normal/Others","WS/MP334/2024-2025/139765-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bhelwatand hari mandir in sadmakalan.","09-Sep-2024","22000","08-Oct-2024"
"2222","Normal/Others","WS/MP334/2024-2025/139872-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv sthal in mirzapur of patki panchayat","09-Sep-2024","22000","08-Oct-2024"
"2223","Normal/Others","WS/MP334/2024-2025/139873-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kaali mandir in mirzapur in patki panchayat","09-Sep-2024","22000","08-Oct-2024"
"2224","Normal/Others","WS/MP334/2024-2025/139874-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir in rangamati in patki panchayat","09-Sep-2024","22000","08-Oct-2024"
