project_id,isolation_forest_flag,anomaly_score,anomaly_reason,zscore_flag,iqr_flag,similarity_score,duplicate_flag,ml_risk_score,ml_risk_level
WS/MP577/2025-2026/133549,0,0.202799643464388,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133551,0,0.1595705579332879,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133563,0,0.1445215363212829,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133565,0,0.202799643464388,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133567,0,0.1595705579332879,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133569,0,0.202799643464388,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133579,0,0.1599216563949307,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2024-2025/133584,0,0.2037457232003245,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2024-2025/133585,0,0.1832537446265548,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2024-2025/133588,0,0.1832537446265548,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2025-2026/133591,0,0.1173261247671622,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2024-2025/133597,0,0.2037457232003245,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP577/2024-2025/133600,0,0.2037457232003245,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
