project_id,similar_project_id,similarity_score,potential_duplicate_flag
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/135997,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/135998,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/135999,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135996,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/135998,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/135999,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135997,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/135999,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135998,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135999,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135999,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135999,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135999,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135999,WS/MP643/2024-2025/136004,1.0,1
